date,time,year,month,day,mins,hour,index,value,site.name,period,season
2022-12-23,13:00:00,2022,12,23,0,13,acoustic_complexity,1878.38158636651,Seagrass meadow,midday,Summer
2022-12-23,13:10:00,2022,12,23,10,13,acoustic_complexity,1878.1190912702,Seagrass meadow,midday,Summer
2022-12-23,13:20:00,2022,12,23,20,13,acoustic_complexity,1878.79152493043,Seagrass meadow,midday,Summer
2022-12-23,13:30:00,2022,12,23,30,13,acoustic_complexity,1868.2589568585,Seagrass meadow,midday,Summer
2022-12-23,13:40:00,2022,12,23,40,13,acoustic_complexity,1889.987093313,Seagrass meadow,midday,Summer
2022-12-23,13:50:00,2022,12,23,50,13,acoustic_complexity,1865.60788661447,Seagrass meadow,midday,Summer
2022-12-23,14:00:00,2022,12,23,0,14,acoustic_complexity,1866.10293547047,Seagrass meadow,afternoon,Summer
2022-12-23,14:10:00,2022,12,23,10,14,acoustic_complexity,1908.22226983936,Seagrass meadow,afternoon,Summer
2022-12-23,14:20:00,2022,12,23,20,14,acoustic_complexity,2044.32671163548,Seagrass meadow,afternoon,Summer
2022-12-23,14:30:00,2022,12,23,30,14,acoustic_complexity,2071.9763506876,Seagrass meadow,afternoon,Summer
2022-12-23,14:40:00,2022,12,23,40,14,acoustic_complexity,2168.84105020503,Seagrass meadow,afternoon,Summer
2022-12-23,14:50:00,2022,12,23,50,14,acoustic_complexity,2105.58969323858,Seagrass meadow,afternoon,Summer
2022-12-23,15:00:00,2022,12,23,0,15,acoustic_complexity,2293.9064472603,Seagrass meadow,afternoon,Summer
2022-12-23,15:10:00,2022,12,23,10,15,acoustic_complexity,2225.76823506646,Seagrass meadow,afternoon,Summer
2022-12-23,15:20:00,2022,12,23,20,15,acoustic_complexity,2230.30861004793,Seagrass meadow,afternoon,Summer
2022-12-23,15:30:00,2022,12,23,30,15,acoustic_complexity,2237.91634128326,Seagrass meadow,afternoon,Summer
2022-12-23,15:40:00,2022,12,23,40,15,acoustic_complexity,2206.38759030142,Seagrass meadow,afternoon,Summer
2022-12-23,15:50:00,2022,12,23,50,15,acoustic_complexity,2147.66729766172,Seagrass meadow,afternoon,Summer
2022-12-23,16:00:00,2022,12,23,0,16,acoustic_complexity,2200.71099860975,Seagrass meadow,afternoon,Summer
2022-12-23,16:10:00,2022,12,23,10,16,acoustic_complexity,2155.18552031391,Seagrass meadow,afternoon,Summer
2022-12-23,16:20:00,2022,12,23,20,16,acoustic_complexity,2137.71762693021,Seagrass meadow,afternoon,Summer
2022-12-23,16:30:00,2022,12,23,30,16,acoustic_complexity,2104.22907973434,Seagrass meadow,afternoon,Summer
2022-12-23,16:40:00,2022,12,23,40,16,acoustic_complexity,2073.60739920768,Seagrass meadow,afternoon,Summer
2022-12-23,16:50:00,2022,12,23,50,16,acoustic_complexity,2074.36271256346,Seagrass meadow,afternoon,Summer
2022-12-23,17:00:00,2022,12,23,0,17,acoustic_complexity,2127.35430953344,Seagrass meadow,afternoon,Summer
2022-12-23,17:10:00,2022,12,23,10,17,acoustic_complexity,2088.59190039753,Seagrass meadow,afternoon,Summer
2022-12-23,17:20:00,2022,12,23,20,17,acoustic_complexity,2150.03951797941,Seagrass meadow,afternoon,Summer
2022-12-23,17:30:00,2022,12,23,30,17,acoustic_complexity,2094.23782343084,Seagrass meadow,afternoon,Summer
2022-12-23,17:40:00,2022,12,23,40,17,acoustic_complexity,2080.47269152523,Seagrass meadow,afternoon,Summer
2022-12-23,17:50:00,2022,12,23,50,17,acoustic_complexity,2144.30918003332,Seagrass meadow,afternoon,Summer
2022-12-23,18:00:00,2022,12,23,0,18,acoustic_complexity,2101.40116783752,Seagrass meadow,dusk,Summer
2022-12-23,18:10:00,2022,12,23,10,18,acoustic_complexity,2147.09750900239,Seagrass meadow,dusk,Summer
2022-12-23,18:20:00,2022,12,23,20,18,acoustic_complexity,2133.00357874478,Seagrass meadow,dusk,Summer
2022-12-23,18:30:00,2022,12,23,30,18,acoustic_complexity,2111.54145940083,Seagrass meadow,dusk,Summer
2022-12-23,18:40:00,2022,12,23,40,18,acoustic_complexity,2120.48390334584,Seagrass meadow,dusk,Summer
2022-12-23,18:50:00,2022,12,23,50,18,acoustic_complexity,2122.10858535955,Seagrass meadow,dusk,Summer
2022-12-23,19:00:00,2022,12,23,0,19,acoustic_complexity,2166.62710622057,Seagrass meadow,dusk,Summer
2022-12-23,19:10:00,2022,12,23,10,19,acoustic_complexity,2207.37824440686,Seagrass meadow,dusk,Summer
2022-12-23,19:20:00,2022,12,23,20,19,acoustic_complexity,2219.79117528165,Seagrass meadow,dusk,Summer
2022-12-23,19:30:00,2022,12,23,30,19,acoustic_complexity,2102.99671938261,Seagrass meadow,dusk,Summer
2022-12-23,19:40:00,2022,12,23,40,19,acoustic_complexity,2130.8836737363,Seagrass meadow,dusk,Summer
2022-12-23,19:50:00,2022,12,23,50,19,acoustic_complexity,2088.258178522,Seagrass meadow,dusk,Summer
2022-12-23,20:00:00,2022,12,23,0,20,acoustic_complexity,2209.09703218251,Seagrass meadow,night,Summer
2022-12-23,20:10:00,2022,12,23,10,20,acoustic_complexity,2258.09035273047,Seagrass meadow,night,Summer
2022-12-23,20:20:00,2022,12,23,20,20,acoustic_complexity,2291.75397261697,Seagrass meadow,night,Summer
2022-12-23,20:30:00,2022,12,23,30,20,acoustic_complexity,2192.41223503579,Seagrass meadow,night,Summer
2022-12-23,20:40:00,2022,12,23,40,20,acoustic_complexity,2304.16173225209,Seagrass meadow,night,Summer
2022-12-23,20:50:00,2022,12,23,50,20,acoustic_complexity,2265.32207482312,Seagrass meadow,night,Summer
2022-12-23,21:00:00,2022,12,23,0,21,acoustic_complexity,2687.29738899484,Seagrass meadow,night,Summer
2022-12-23,21:10:00,2022,12,23,10,21,acoustic_complexity,2565.44337918156,Seagrass meadow,night,Summer
2022-12-23,21:20:00,2022,12,23,20,21,acoustic_complexity,2770.08593704595,Seagrass meadow,night,Summer
2022-12-23,21:30:00,2022,12,23,30,21,acoustic_complexity,2984.15036056993,Seagrass meadow,night,Summer
2022-12-23,21:40:00,2022,12,23,40,21,acoustic_complexity,2748.51116013282,Seagrass meadow,night,Summer
2022-12-23,21:50:00,2022,12,23,50,21,acoustic_complexity,2959.84846205378,Seagrass meadow,night,Summer
2022-12-23,22:00:00,2022,12,23,0,22,acoustic_complexity,2952.18241018872,Seagrass meadow,night,Summer
2022-12-23,22:10:00,2022,12,23,10,22,acoustic_complexity,3047.38312949267,Seagrass meadow,night,Summer
2022-12-23,22:20:00,2022,12,23,20,22,acoustic_complexity,2962.40353893718,Seagrass meadow,night,Summer
2022-12-23,22:30:00,2022,12,23,30,22,acoustic_complexity,2637.82391983021,Seagrass meadow,night,Summer
2022-12-23,22:40:00,2022,12,23,40,22,acoustic_complexity,2770.54510193784,Seagrass meadow,night,Summer
2022-12-23,22:50:00,2022,12,23,50,22,acoustic_complexity,2935.79634905333,Seagrass meadow,night,Summer
2022-12-23,23:00:00,2022,12,23,0,23,acoustic_complexity,2866.33870244313,Seagrass meadow,night,Summer
2022-12-23,23:10:00,2022,12,23,10,23,acoustic_complexity,3275.62502714874,Seagrass meadow,night,Summer
2022-12-23,23:20:00,2022,12,23,20,23,acoustic_complexity,3125.83436106652,Seagrass meadow,night,Summer
2022-12-23,23:30:00,2022,12,23,30,23,acoustic_complexity,3073.93449063404,Seagrass meadow,night,Summer
