date,time,year,month,day,mins,hour,period,season,ACI,ADI,AEI,BI,ndsi_50,ndsi_100,ndsi_200,ndsi_250,ndsi_500,ndsi_1000,ndsi_200Hz_to_1.5kHz_1.5kHz_to_9kHz
2021-12-13,15:10:00,2021,12,13,10,15,afternoon,Summer,1827.59204577802,1.846978,0.484889,2.57268355866487,-0.740978332957055,-0.545053687138503,-0.226288480287671,-0.0580720432477006,0.188098186748916,0.736524158377314,-0.147683662605105
2021-12-13,15:20:00,2021,12,13,20,15,afternoon,Summer,1827.03582989402,2.285567,0.102801,2.49173843207873,-0.843217745988356,-0.702093654474995,-0.554778486832348,-0.526030183366884,-0.463864462048372,0.312914274618627,-0.466958556692132
2021-12-13,15:30:00,2021,12,13,30,15,afternoon,Summer,1845.54850355802,1.882361,0.482642,4.46243862913519,-0.727449148002239,-0.462561593921412,-0.0319517399951939,0.0819504857448474,0.273156326392856,0.725129805439894,0.0290374829893406
2021-12-13,15:40:00,2021,12,13,40,15,afternoon,Summer,1814.9537564422,2.293134,0.074596,1.66668335123868,-0.885692505929336,-0.790156818380233,-0.661609937742446,-0.636502227075763,-0.595616878922353,0.0593060956883395,-0.536133752034435
2021-12-13,15:50:00,2021,12,13,50,15,afternoon,Summer,1811.76041601953,2.301341,0.027904,4.79061175941747,-0.501348102282278,-0.183096033159172,0.151536307714401,0.207400759781254,0.296434740691642,0.74265575455103106,0.216079125670464
2021-12-13,16:00:00,2021,12,13,0,16,afternoon,Summer,1825.36074884372,2.296592,0.061054,2.89481751732202,-0.804536402668015,-0.569697683422171,-0.131574813035189,-0.00348428165988877,0.154411300284154,0.690191648624056,-0.0563572107963009
2021-12-13,16:10:00,2021,12,13,10,16,afternoon,Summer,1820.01509871992,2.266884,0.149499,2.50643079677759,-0.904539112430627,-0.868582223256708,-0.763930561338351,-0.715922883428197,-0.594544095776884,0.0837494286033818,-0.661052140544419
2021-12-13,16:20:00,2021,12,13,20,16,afternoon,Summer,1833.28899332341,2.046059,0.365705,4.00134150420791,-0.768178470450254,-0.568778805038788,-0.340809009399345,-0.296054328417079,-0.166812663919558,0.573609875236665,-0.254237253911332
2021-12-13,16:30:00,2021,12,13,30,16,afternoon,Summer,1855.24942491121,2.207055,0.244347,6.63830342564525,0.0416108178718452,0.485690217773336,0.776936256464744,0.822288987172215,0.882640178908536,0.957465883273191,0.79599788414419
2021-12-13,16:40:00,2021,12,13,40,16,afternoon,Summer,1826.4625115679,2.245401,0.184657,2.24264246250835,-0.854812522403522,-0.775843245525486,-0.710497143133993,-0.700341033117703,-0.681310356603825,0.718552600357975,-0.67798682402584
2021-12-13,16:50:00,2021,12,13,50,16,afternoon,Summer,1819.43276738679,0.697305,0.814578,2.34500251460945,-0.913776559708779,-0.798526749994784,-0.656891649031063,-0.618158372119437,-0.563872774611026,0.457887413417671,-0.586667064202139
2021-12-13,17:00:00,2021,12,13,0,17,afternoon,Summer,1830.67044817341,2.294612,0.069445,3.08365723499086,-0.775960784944492,-0.551000389074613,-0.19387076368486,-0.107233523125318,0.0199996796513537,0.605155918944967,-0.116153555125494
2021-12-13,17:10:00,2021,12,13,10,17,afternoon,Summer,1826.55017910618,2.295417,0.065492,3.2375295781054,-0.630134278062365,-0.341685054262078,-0.065583065947087,-0.0215390402083541,0.0684688423290166,0.637288288230027,0.010639300890252
2021-12-13,17:20:00,2021,12,13,20,17,afternoon,Summer,1806.79610901037,2.298874,0.048058,2.39304963509853,-0.808832083154038,-0.636832887635746,-0.439781241217573,-0.410010938318087,-0.331882389498004,0.43234439961613,-0.310007159586011
2021-12-13,17:30:00,2021,12,13,30,17,afternoon,Summer,1827.63652351176,2.300939,0.031031,2.44525960314047,-0.785817708745821,-0.532443212981518,-0.0754087973521759,0.0271772673396086,0.210070368829254,0.736262935941449,0.0116440110799983
2021-12-13,17:40:00,2021,12,13,40,17,afternoon,Summer,1823.42837084721,2.29942,0.044009,2.62847354540846,-0.808004167782014,-0.576648985885698,-0.164067914760323,-0.0887684709085742,0.0642586625674132,0.69676052354467,-0.0700346518076028
2021-12-13,17:50:00,2021,12,13,50,17,afternoon,Summer,1815.32493575069,2.274421,0.130934,1.75123999545375,-0.821415055919307,-0.66159834905834,-0.436747480005152,-0.389681766650209,-0.317707691535297,0.638401688226432,-0.352449020875424
2021-12-13,18:00:00,2021,12,13,0,18,dusk,Summer,1849.32122293658,1.403389,0.671461,5.75456824195237,-0.845146487628061,-0.73568607707487,-0.473381053137299,-0.115986137007335,0.359946307869014,0.840481155072729,-0.454700299443035
2021-12-13,18:10:00,2021,12,13,10,18,dusk,Summer,1822.80722034377,2.288778,0.09038,2.3821941775274,-0.875193102026756,-0.771394930361221,-0.523979553117578,-0.41049661855679,-0.257385530962637,0.511775618017212,-0.445248713630912
2021-12-13,18:20:00,2021,12,13,20,18,dusk,Summer,1830.84709649969,1.171433,0.709734,3.92474564760007,-0.819327588821017,-0.747603685551279,-0.523940831130578,-0.382647255393783,-0.210705409180482,0.548058507254767,-0.461805915500006
2021-12-13,18:30:00,2021,12,13,30,18,dusk,Summer,1825.18423024516,2.301424,0.026312,2.17468640823342,-0.851778055767651,-0.761548623263401,-0.555946319997351,-0.482853460031533,-0.371608649835384,0.613224984416044,-0.501077626594574
2021-12-13,18:40:00,2021,12,13,40,18,dusk,Summer,1819.76863518845,2.270869,0.138656,4.66107282603691,-0.640188047462014,-0.441253436547057,-0.161444383097732,0.0332337578261101,0.22802132318951,0.829599799470868,-0.130294667461584
